"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad","Estado Resumen"
"E.S.E HOSPITAL SAN RAFAEL DE ITAGUI","890980066","Antioquia","No Definido","Territorial","Centralizada","CO1.REQ.3313977","22-103019-009","706731635","CO1.BDOS.3227602","MARCELA HERNANDEZ OSORIO","Prestación de servicios profesionales de Enfermera para Geohelmintiasis del Proyecto PAI, para el desarrollo de las actividades derivadas en el marco del plan decenal de salud pública, en el Departamento de Antioquia, según la necesidad de La E.S.E Hospital San Rafael del municipio de Itagüí.","Presentación de oferta","09/02/2022","09/02/2022",,,,,"09/02/2022","$33.337.780","Contratación régimen especial","Decreto 092 de 2017","106","día(s)",,,,"Itagui","CONTRATOS Y COMPRAS","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80101602","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3229997","706.731.635","Presentación de oferta"
"ESCUELA DE FORMACION INPEC","832001871","Cundinamarca","No Definido","Nacional","Descentralizada","CO1.REQ.684229","CD-258 DE 2018","701152050","CO1.BDOS.663329","CARLOS ALBERTO FLOREZ CASTAÑO","PRESTAR SERVICIOS PERSONALES PROFESIONALES COMO INSTRUCTOR DE AULA EN EL (LA) CENTRO DE INSTRUCCIÓN MANIZALES DEL INPEC PARA DICTAR LA(S) ASIGNATURA(S) DE PREPARACION FISICA Y DEFENSA PERSONAL, EN LA INSTRUCCIÓN BASICA DE LOS AUXILIARES DEL CUERPO DE CUSTODIA DEL INPEC DEL TERCER CONTINGENTE DEL 2018, CON OPORTUNIDAD EFICIENCIA Y EFICACIA SEGÚN RELACION DE INTENSIDAD HORARIA.","Presentación de oferta","01/11/2019","01/11/2019",,,,,"01/11/2019","$2.987.670","Contratación directa","Servicios profesionales y apoyo a la gestión","70","Hora(s)",,,,"Funza","CONTRATACIÓN","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111504","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.654568","701.152.050","Presentación de oferta"
"ALCALDÍA MUNICIPAL DE SASAIMA","800094752","Cundinamarca","Sasaima","Territorial","Centralizada","CO1.REQ.7904252","CD-PSAG-66 DE 2025","700551039","CO1.BDOS.7761720","JENNIFFER ALEXANDRA FORERO LANCHERO","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO TÉCNICO EN LA 
SECRETARÍA DE DESARROLLO SOCIAL, REALIZANDO LAS ACTIVIDADES PROPIAS PARA EL 
SEGUIMIENTO AL PROGRAMA TRANSFERENCIAS MONETARIAS, COLOMBIA MAYOR Y OTROS 
PROGRAMAS SOCIALES QUE SE EJECUTAN EN EL MUNICIPIO.","Presentación de oferta","03/06/2025","03/06/2025",,,,,"03/06/2025","$24.000.000","Contratación directa","Servicios profesionales y apoyo a la gestión","294","día(s)",,,,"Sasaima","SECRETARIA GENERAL Y DE GOBIERNO","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7788484","700.551.039","Presentación de oferta"
"INSTITUTO DE FINANCIAMIENTO, PROMOCION Y DESARROLLO DE CALDAS","8908060063","Caldas","Manizales","Territorial","Descentralizada","CO1.REQ.7520250","251031","701231045","CO1.BDOS.7384045","251031","PRESTAR EL SERVICIO ESPECIALIZADO DE REVISORÍA FISCAL DURANTE EL MES DE ENERO Y FEBRERO ASEGURANDO EL CUMPLIMIENTO DE LAS NORMATIVAS APLICABLES","Presentación de oferta","01/20/2025","01/20/2025",,,,,"01/20/2025","$18.505.512","Contratación directa","Servicios profesionales y apoyo a la gestión","50","día(s)",,,,"Manizales","OFICINA ASESORA JURÍDICA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7399802","701.231.045","Presentación de oferta"
"ALCALDÍA MUNICIPIO DE PALMIRA","891380007","Valle del Cauca","Palmira","Territorial","Centralizada","CO1.REQ.2669173","MP-0520-2022","700088016","CO1.BDOS.2596212","PRESTAR LOS SERVICIOS DE APOYO A LA FORMACIÓN ARTÍSTICA Y PROMOCIÓN CULTURAL EN EL ÁREA VIOLÍN; EN LA ESCUELA MUNICIPAL DE ARTE RICARDO NIETO; EN EL MARCO DE LAS FUNCIONES DE LA SECRETARÍA DE CULTURA","PRESTAR LOS
SERVICIOS DE APOYO A LA FORMACIÓN ARTÍSTICA Y PROMOCIÓN CULTURAL EN EL ÁREA
VIOLÍN, EN LA ESCUELA MUNICIPAL DE ARTE RICARDO NIETO, EN EL MARCO DE LAS
FUNCIONES DE LA SECRETARÍA DE CULTURA DE PALMIRA","Presentación de oferta","01/18/2022","01/18/2022",,,,,"01/18/2022","$10.000.000","Contratación directa","Servicios profesionales y apoyo a la gestión","5","Mes(es)",,,,"Palmira","SECRETARIA DE CULTURA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2597357","700.088.016","Presentación de oferta"
"ESE HOSPITAL SALAZAR DE VILLETA","860015929","Cundinamarca","No Definido","Territorial","Centralizada","CO1.REQ.6217766","377-2024","702234691","CO1.BDOS.6096962","APOYO PROFESIONAL A LA GESTIÓN ADMINISTRATIVA PARA LAS ÁREAS DE MANTENIMIENTO DE INFRAESTRUCTURA Y SEGUIMIENTO A LAS OBRAS PUBLICAS QUE ADELANTA LA ESE HOSPITAL SALAZAR DE VILLETA Y SU ÁREA DE INFLUEN","APOYO PROFESIONAL A LA GESTIÓN ADMINISTRATIVA PARA LAS ÁREAS DE MANTENIMIENTO DE INFRAESTRUCTURA Y SEGUIMIENTO A LAS OBRAS PUBLICAS QUE ADELANTA LA ESE HOSPITAL SALAZAR DE VILLETA Y SU ÁREA DE INFLUENCIA","Presentación de oferta","05/09/2024","05/09/2024",,,,,"05/09/2024","$28.000.000","Contratación régimen especial","Regla aplicable","8","Mes(es)",,,,"Villeta","UNIDAD DE CONTRATACIÓN HSV","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.72101507","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6104719","702.234.691","Presentación de oferta"
"CENTRAL ADMINISTRATIVA Y CONTABLE TELEMATICA","900332546","Cundinamarca","Facatativá","Nacional","Centralizada","CO1.REQ.974713","SC-114-DIADQ-CADCO-CENACTELEMATICA 2019","702917022","CO1.BDOS.941012","SOLICITUD COTIZACION ADQUISICION DE BATERIAS DE LIBRE MANTENIMIENTO PARA PUESTOS DE RELEVO Y UPS DEL EJERCITO","SOLICITUD DE COTIZACIÓN ADQUISICIÓN DE BATERIAS DE LIBRE MANTENIMIENTO PARA PUESTOS DE RELEVO Y UPS DEL EJERCITO","Presentación de oferta","09/27/2019","09/27/2019",,,,,"09/27/2019","$0","Solicitud de información a los Proveedores","No","3","Mes(es)","10/04/2019",,"09/27/2019","Facatativá","CENACTELEMATICA","265","0","9","0","5","0","0","5","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.26111701","Abierto","No","No Definido","V126111600, V126111707","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.942115","702.917.022","Presentación de oferta"
"IGAC Sede Central *","899999004","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.8324155","CD-4106-2025-COR-","700663107","CO1.BDOS.8177765","PRESTACION DE SERVICIOS PERSONALES","4.2609.1.7.3.10-Prestación de servicios personales para realizar el control de calidad de la información del reconocimiento de campo en el marco de la actualización y/o formación catastral con enfoque multipropósito en el municipio asignado para la Dirección Territorial Córdoba","Presentación de oferta","05/26/2025","05/26/2025",,,,,"05/26/2025","$26.080.000","Contratación directa","Servicios profesionales y apoyo a la gestión","6","Mes(es)",,,,"Montería","CORDOBA","0","0","0","0","0","0","0","0","0","Seleccionado","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80161501","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8198220","700.663.107","Presentación de oferta"
"SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL)","900971006","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.3845439","CPS-1361-2023","702729500","CO1.BDOS.3750345","PRESTAR SERVICIOS PROFESIONALES Y APOYO A LA GESTION","PROFESIONAL MEDICO - HOSPITALIZACION Y/O URGENCIAS","Presentación de oferta","01/13/2023","01/13/2023",,,,,"01/13/2023","$26.005.776","Contratación régimen especial","Regla aplicable","120","día(s)",,,,"Bogotá","DIRECCIÓN DE CONTRATACIÓN - COMPRAS","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3753483","702.729.500","Presentación de oferta"
"EMPRESA COLOMBIANA DE PETROLEOS","899999068","Distrito Capital de Bogotá","Bogotá","Nacional","Descentralizada","CO1.REQ.1359176","2552824.","709072474","CO1.BDOS.1317971","SUMINISTRO DE LUBRICANTES A NIVEL NACIONAL PARA ECOPETROL S.A. Y SU GRUPO EMPRESARIAL.","SUMINISTRO DE LUBRICANTES A NIVEL NACIONAL PARA ECOPETROL S.A. Y SU GRUPO EMPRESARIAL.","Presentación de oferta","07/01/2020","07/01/2020",,,,,"07/01/2020","$191.448.166","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"Bogotá","Departamento de Compras","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.15101505","Abierto","Otro","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1314975","709.072.474","Presentación de oferta"
"INSTITUTO DE CULTURA, RECREACION Y DEPORTE DE PITALITO","900809150","Huila","Pitalito","Territorial","Centralizada","CO1.REQ.3766554","ICRD-CONV-011-2022","703821967","CO1.BDOS.3670626","AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; HUMANOS Y FINANCIEROS; CON EL CLUB DEPORTIVO DE PORRISMO FENIX ALL STARS; PARA APOYAR LA REALIZACIÓN DE UN EVENTO DEPORTIVO Y RECREATIVO PARA COMUNIDAD LABOY","AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, HUMANOS Y FINANCIEROS, CON EL CLUB DEPORTIVO DE PORRISMO FENIX ALL STARS, PARA APOYAR LA REALIZACIÓN DE UN EVENTO DEPORTIVO Y RECREATIVO PARA COMUNIDAD LABOYANA EN EL MES DE DICIEMBRE  DE 2022","Presentación de oferta","12/27/2022","12/27/2022",,,,,"12/27/2022","$20.000.000","Contratación régimen especial","Decreto 092 de 2017","5","día(s)",,,,"Pitalito","CONTRATACION ICRD","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.90141600","Abierto","Decreto 092 de 2017","No Definido","V194121500","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3680519","703.821.967","Presentación de oferta"
"MUNICIPIO DE APIA","891480022","Risaralda","Apía","Territorial","Centralizada","CO1.REQ.7764122","CI-01-2025","705539518","CO1.BDOS.7628571","CONTRATO INTERADMINISTRATIVO PARA EL OTORGAMIENTO DE SUBSIDIOS DE LOS SERVICIOS DE ACUEDUCTOS; ALCANTARILLADO Y ASEO A LOS USUARIOS DE LOS ESTRATOS 1; 2 Y 3 DEL MUNICIPIO DE APIA RISARALDA; DURANTE LA","CONTRATO INTERADMINISTRATIVO PARA EL OTORGAMIENTO DE SUBSIDIOS DE LOS SERVICIOS DE ACUEDUCTOS, ALCANTARILLADO Y ASEO A LOS USUARIOS DE LOS ESTRATOS 1, 2 Y 3 DEL MUNICIPIO DE APIA RISARALDA, DURANTE LA VIGENCIA 2025","Presentación de oferta","02/18/2025","02/18/2025",,,,,"02/18/2025","$336.237.400","Contratación directa","Contratos o convenios Interadministrativos (valor cero)","310","día(s)",,,,"Apía","MUNICIPIO DE APIA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.93151611","Abierto","Otro","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7660902","705.539.518","Presentación de oferta"
"SECRETARIA DE EDUCACION DEL DISTRITO","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.1440311","SED-SCP-DIIP-PSP-186-2020","701321135","CO1.BDOS.1397294","CATHERINE ALEXANDRA RODRIGUEZ URBINA","Prestar servicios profesionales especializados  en la Dirección de Inclusión e Integración de Poblaciones, en el desarrollo de acciones técnicas orientadas al fortalecimiento de los procesos contra la explotación sexual comercial de niños, niñas y adolescentes- ESCNNA y la trata de personas, en articulación con la categoría de  Prevención y Protección con Enfoque de Género","Presentación de oferta","08/17/2020","08/17/2020",,,,,"08/17/2020","$31.250.000","Contratación directa","Servicios profesionales y apoyo a la gestión","5","Mes(es)",,,,"Bogotá","DIRECCION DE CONTRATACION","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80101505","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1395550","701.321.135","Presentación de oferta"
